year,nid,first_name,last_name,gender,job_title,employer,usable_name,ratio
2005,7489,Joann,Byrd,F,former editor editorial page,Seattle Post-Intelligencer,Joann,100
2005,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2005,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2005,7493,Donald E.,Graham,M,chairman,The Washington Post,Donald,100
2005,7494,Anders,Gyllenhaal,M,editor and senior vice president,Star Tribune,Anders,100
2005,7495,Jay T.,Harris,M,"Wallis Annenberg Chair, Director, Center for the Study of Journalism and Democracy, Annenberg School of Communication",University of Southern California,Jay,99
2005,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2005,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2005,7498,Ann Marie,Lipinski,F,senior vice president and editor, Chicago Tribune,Ann,100
2005,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2005,7500,Richard,Oppel,M,editor,Austin American-Statesman,Richard,100
2005,7501,Mike,Pride,M,editor,Concord Monitor,Mike,100
2005,7502,Paul,Steiger,M,managing editor,The Wall Street Journal,Paul,100
2005,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2005,7505,Henry Louis,Gates Jr.,M,W.E.B. DuBois Professor of Humanities,Harvard University,Henry,99
2005,7536,Amanda,Bennett,F,editor,The Philadelphia Inquirer,Amanda,100
2005,7540,Andrew,Barnes,M,chairman,Poynter Institute for Media Studies,Andrew,100
2006,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
2006,7487,Jim,Amoss,M,editor,The Times-Picayune,Jim,99
2006,7489,Joann,Byrd,F,former editor editorial page,Seattle Post-Intelligencer,Joann,100
2006,7490,Kathleen,Carroll,F,executive editor and senior vice president,Associated Press,Kathleen,100
2006,7491,Thomas L.,Friedman,M,columnist,The New York Times,Thomas,100
2006,7493,Donald E.,Graham,M,chairman,The Washington Post,Donald,100
2006,7494,Anders,Gyllenhaal,M,editor and senior vice president,Star Tribune,Anders,100
2006,7495,Jay T.,Harris,M,"Wallis Annenberg Chair, Director, Center for the Study of Journalism and Democracy, Annenberg School of Communication",University of Southern California,Jay,99
2006,7496,David M.,Kennedy,M,"Donald J. McLachlan Professor of History, Emeritus",Stanford University,David,100
2006,7497,Nicholas,Lemann,M,"dean, Graduate School of Journalism",Columbia University,Nicholas,100
2006,7498,Ann Marie,Lipinski,F,senior vice president and editor, Chicago Tribune,Ann,100
2006,7499,Gregory L.,Moore,M,editor,The Denver Post,Gregory,100
2006,7500,Richard,Oppel,M,editor,Austin American-Statesman,Richard,100
2006,7501,Mike,Pride,M,editor,Concord Monitor,Mike,100
2006,7502,Paul,Steiger,M,managing editor,The Wall Street Journal,Paul,100
2006,7503,Paul C.,Tash,M,"editor, chairman and CEO",The St. Petersburg Times,Paul,100
2006,7504,Sig,Gissler,M,"administrator, Graduate School of Journalism",Columbia University,Sig,100
2006,7536,Amanda,Bennett,F,editor,The Philadelphia Inquirer,Amanda,100
2006,13775,Henry Louis,Gates Jr.,M,W.E.B. DuBois Professor of Humanities,Harvard University,Henry,99
2007,7485,Lee C.,Bollinger,M,president,Columbia University,Lee,77
