year,nid,first_name,last_name,gender,job_title,employer,usable_name,ratio
1971,7564,Price,Day,M,editor-in-chief,The Baltimore Sun,Price,100
1971,7565,William B.,Dickinson,M,executive editor,The Philadelphia Bulletin,William,100
1971,7566,Robert J.,Donovan,M,associate editor,Los Angeles Times,Robert,100
1971,7578,Lee,Hills,M,president and executive editor,"Knight Newspapers, Inc.",Lee,77
1971,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1971,7600,William J.,McGill,M,president,Columbia University,William,100
1971,7606,Sylvan,Meyer,M,editor,The Miami News,Sylvan,100
1971,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1971,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1971,7625,James,Reston,M,vice president,The New York Times,James,100
1971,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
1972,7550,Benjamin,Bradlee,M,executive editor,The Washington Post,Benjamin,100
1972,7555,Wallace,Caroll,M,editor and publisher,Winston (N.C.) Journal,Wallace,99
1972,7563,John,Cowles,M,editorial chairman,The Minneapolis Star &amp; Tribune,John,100
1972,7564,Price,Day,M,editor-in-chief,The Baltimore Sun,Price,100
1972,7565,William B.,Dickinson,M,executive editor,The Philadelphia Bulletin,William,100
1972,7566,Robert J.,Donovan,M,associate editor,Los Angeles Times,Robert,100
1972,7578,Lee,Hills,M,president and executive editor,"Knight Newspapers, Inc.",Lee,77
1972,7580,John,Hohenberg,M,"executive secretary, The Pulitzer Prizes",Columbia University,John,100
1972,7600,William J.,McGill,M,president,Columbia University,William,100
1972,7606,Sylvan,Meyer,M,editor,The Miami News,Sylvan,100
1972,7610,Newbold,Noyes,NA,editor,The Evening Star,Newbold,
1972,7622,Joseph Jr. (III),Pulitzer,M,editor and publisher,St. Louis Post-Dispatch,Joseph,100
1972,7625,James,Reston,M,vice president,The New York Times,James,100
1972,7630,Vermont C.,Royster,M,editor and senior vice president,The Wall Street Journal,Vermont,100
1973,7550,Benjamin,Bradlee,M,executive editor,The Washington Post,Benjamin,100
1973,7555,Wallace,Caroll,M,editor and publisher,Winston (N.C.) Journal,Wallace,99
1973,7563,John,Cowles,M,editorial chairman,The Minneapolis Star &amp; Tribune,John,100
